,news_website,news_url,news_title,news_content
0,takvim,/teknoloji/2023/04/30/uzay-yolculari-zorlu-testlerden-gecti,Uzay yolcuları zorlu testlerden geçti! - Takvim,"

Başkan Recep Tayyip Erdoğan tarafından Türkiye'nin uzay, havacılık ve teknoloji festivali TEKNOFEST'te kamuoyuna tanıtılan Türk Uzay Yolcuları, Sanayi ve Teknoloji Bakanı Mustafa Varank ile birlikte düzenlenen basın açıklamasında kendilerini tanıttı. Gezeravcı ve Atasever'in nasıl seçildiği, hangi test süreçlerinden geçtiği de merak konusu olurken kılı kırk yaran bir seçim süreci yaşandığı da ortaya çıktı.




EĞİTİME 2023 SONUNA KADAR DEVAM
F-16 pilotu olan Türk Uzay Yolcusu Alper Gezeravcı, 44 yaşında. Gezeravcı Uluslararası Uzay İstasyonu'nda 14 gün kalacak ve 13 farklı deney yapacak. Gezeravcı, seçim sürecine ilişkin yaptdığı değerlendirmede eş zamanlı ve birbirinden ayrı ilerleyen birçok eğitim sürecini içinde barındıran bir dönem yaşadıklarına değinerek ""Bu fırlatmanın gerçekleştirileceği 2023'ün son periyoduna kadar da bu şekilde devam edecek. Heyecandan ziyade mutluluk verici son derece mutluluk verici ve gurur verici bir görev."" dedi.




İZİN VERİLENE KADAR HABERLERİ OLMADI
Zorlu testler döneminden ailesinin haberi olmadığını bildiren Gezeravcı, ""Dolayısıyla olumlu sonucu ben öğrendikten sonra da halen gizlilik kriterlerini ilgili yetkili birimlerimiz tarafından aileme açma noktasına izin verilene kadar haberleri olmadı. Bu şaşkınlığı attıktan sonra o büyük mutluluk ve gururu yaşadılar. Tabii bir evlat olarak da başımızın tacı anne babalarımıza böyle bir mutluluğu yaşatmış olmak son derece gurur verici."" diye konuştu.
 
ELEME 6-7 AY SÜRDÜ
Türk Uzay Yolcusu Tuva Cihangir Atasever de ROKETSAN'da sistem mühendisi. 31 yaşındaki Atasever yörünge altı uçuşu gerçekleştirecek. Atasever de çok yoğun, 6-7 ay süren bir eleme sürecinden geçtiklerini kaydederek ""Çevresel testler diyebileceğim yüksek g testleri, alçak basınçlı testleri, psikolojik testler, zeka IQ testleri, yetenek testleri çok zorlu süreçlerden geçtik. Sağlık testleri de oldu tabii ki ve sonunda bu noktaya ulaştık."" dedi.
"
1,takvim,/yazarlar/lutfi_albayrak/2022/12/26/bir-sicak-bir-soguk,Bir sıcak bir soğuk - Takvim," ÖNCELİKLE sizin de aklınıza gelen ilk seçeneklerden başlayalım: Fark etmeden bir şey yapmış ve karşı tarafı incitmiş ya da kızdırmış olabilirsiniz!
 SİZDEN hoşlanmıyor olabilir ancak sizi kırmak istemediği için de stabil bir tavır sergileyemiyor olabilir.
 KAFASINDA sizinle ilgili çok fazla soru işareti olabilir!
Kimi zaman ona çok güven verici geliyorsunuzdur, kimi zamansa tam aksidir. Bu da tavırlarında bir sıcak, bir soğuk olarak değişmeli bir kombi etkisi gösterebilir.
 BELKİ DE size karşı derin duygular besliyordur ve tam olarak ne yapması gerektiğini bilmiyordur. İyice kendini kaptırmamak için bazen soğuk davranıyordur, bazense duygularına yenik düşüp çok sıcak davranıyordur.
 ARTIK insanların tuhaf fantezileri olduğunu da göz önünde bulundurarak; size bir soğuk, bir sıcak davranarak aklınızı ve duygularınızı bulandırmaktan hastalıklı bir haz duyuyor olabilir.
 BELKİ DE meselenin sizinle yakından uzaktan hiçbir alakası yoktur. Yalnızca en iyi günlerinde değildir, o yüzden bireysel algılamamaya çalışın.
 BİR sıcak, bir soğuk davranma sizi daha yakından tanımak için bir taktik de olabilir.
Değişen tavırlara vereceğiniz tepkileri ölçmek istiyordur.
 KARŞINIZDAKİ kişi bipolar yani duygudurum bozukluğundan muzdarip olabilir.
 BU kişi ziyadesiyle bencil biri olduğundan canı nasıl isterse öyle davranıp karşıdaki kişinin duygularını önemsemiyor olabilir.
Siz siz olun önemsenmediğiniz yerde durmayın!
 SİZİN davranışlarınıza ayna tutuyor olabilir. Bu sebeple öncelikle kendi davranışlarınızda belirli bir stabilite yakalamaya çalışmalısınız.
 VALLAHİ bizden duymuş olmayın ama alkol, uyuşturucu madde vs. gibi herhangi bir bağımlılık söz konusu olabilir!
Yüksekken sıcak oluyordur, düşüşe geçerken soğuklaşıyordur belki de kimbilir...
 FAZLA duygusal biri olduğundan herhangi bir dış etmen onu fazlasıyla etkiliyor olabilir. Sıradan bir şeye fazlasıyla üzüldüğü zamanlarda soğuk-sıcak ayarını tutturamıyordur.
Üzerinize alınmayın.
 VE son olarak o kişi çoğu insana yaka silktirmiş ikizler, yengeç, başak ya da balık burcudur.
Onu değiştiremez ya da herhangi bir sabitliğe ulaştıramazsınız.
Öyle kabul etmek en iyisi.

LÜZUMSUZ BİLGİLER
CHEVROLET yeni model arabası için ""Nova"" ismini buldu ama sonra arabayı Latin Amerika'da satamayacakları anlaşıldı...
Çünkü ""Nova"" İspanyolca'da ""gitmez"" anlamına geliyordu.

TESPİTLİ YORUM
@yeteramahayir ANNEMLER güneş enerjisi paneli taktırdılar çatıya. Sürekli elektrik üretiyor diye, sürekli fırın çalıştırıp sürekli hamur işi yapıyorlar.
Yenilenebilir enerjiyi yenilebilir enerjiye çevirmişler.

ALKIŞLIYORUM
@ozturkefendi_ HANIM bayağı film izliyor. Ne zaman film izlemek istesem ""Ben bunu izledim"" diyor. Acayip sinirleniyorum.
Bugün gelirken düğün videosunu flasha attım.
""Harika bir film buldum bunu izlemen mümkün değil"" dedim.
Açtım düğün videosunu izliyoruz.
Gün intikam günüdür.

@slayingflowers ERKEK kardeşimle arkeoloji müzesine gittik, Poseidon heykelini gördüm. İsmi aklıma gelmedi dedim ki ""Deniz tanrısının adı neydi ya hatırlayamadım?"" Diyor ki AQUAMAN...
Erkeklerin maksimum kültür seviyesi.
"
2,takvim,/yasam/2022/09/16/unlu-ailede-soke-eden-dava-babasi-bizimkiler-dizisinin-senaristiydi-bugay-ailesini-karistiran-olay,Ünlü ailede şoke eden dava! Babası Bizimkiler dizisinin senaristiydi! Bugay ailesini karıştıran olay - Takvim,"

'Hababam Sınıfı', 'Kapıcılar Kralı', 'Çöpçüler Kralı', 'Yoksul' ve 'Postacı' gibi birçok başyapıt niteliğindeki filmin senaristliğini ve ekranların fenomen dizisi 'Bizimkiler'in ise yapımcılığını ve senaristliğini üstlenen Umur Bugay, 2019 yılında Kınalıada'da girdiği denizde boğularak hayatını kaybetti. Umur Bugay'ın vefatının ardından eşi Ayşe Bugay, oğlu Ömer Bugay ile birlikte Etiler'deki dubleks evde yaşamaya başladı. Ayşe Bugay'ın iddiasına göre 49 yaşındaki oğlu Ömer Bugay, 'bipolar bozukluk' hastasıydı ve psikiyatrik ilaçlar kullanıyordu. Ailenin tüm üyeleri Ömer Bugay'ın zaman zaman hastane yatışları ve tedavisi için büyük çaba gösterdi. Ancak Ömer Bugay, ailesine karşı sözlü ve fiziksel Şiddet uygulamaya başladı. İddiaya göre, Ömer Bugay, 75 yaşındaki annesi Ayşe Bugay'ı yerde sürükledi ve kafasını giriş kapısına defalarca vurarak yaraladı. Hastaneye kaldırılan yaşlı kadının kafasına dikişler atıldı. Ayşe Bugay, eşi Umur Bugay'ın adının ve itibarının sarsılmaması için oğlundan bu zamana kadar şikâyetçi olmadı.




*Bizimkiler dizisinin senaristi Umur Bugay
'NEFESSİZ BIRAKTI'
Dilekçede, ""Ömer Bugay, geçen yıl aile fertlerine haber vermeden Fidan isimli bir kadınla evlenmiştir. Evlendikten sonra daha da agresifleşen Ömer Bugay, rahatsızlığının da etkisiyle annesi Ayşe Bugay'a karşı hasmane bir tutum sergilemiş, ağır hakaretleri ve tehditleri artmıştır. Hayali iddialar ileri süren Ömer Bugay, babasının mirasından kendisine hak verilmediğini söyleyerek aile içinde ihtilaflara sebep olmuştur. Annesini dolandırıcılıkla suçlayan Ömer Bugay, nefessiz bırakacak şekilde burnunu parmaklarıyla sıkıştırarak fiziki şiddet uygulamıştır. Oğlunun saldırıları karşısında savunmasız kalan Ayşe Bugay, rahmetli eşinden kalan yazlık evine yerleşmiştir"" denildi.
İTİRAZI REDDEDİLDİ
Ömer Bugay'ın evde bulunan maddi ve manevi değeri çok yüksek resim ve sanat heykellerini de topladığının anlatıldığı dilekçede, ""Müvekkilim, öz oğlunun ve onunla elbirliği içinde hareket eden gelininin şiddetine maruz kalmakta, kendi evine gidememektedir. Bu nedenle gerekli tedbirlerin alınmasını istiyoruz"" denildi. Talebi haklı bulan Mahkeme, Ömer Bugay ile eşi Fidan Bugay'ın mağdur Ayşe Bugay'a yaklaşmamasına karar verdi.
Aleyhine verilen uzaklaştırma kararına itiraz eden Ömer Bugay, annesinin iddialarını reddetti. Ancak mahkeme, verilen kararın yerinde olduğu gerekçesiyle Ömer Bugay'ın itirazını reddetti.
"
3,takvim,/sgk/2022/08/17/10-yili-tamamlayanlar-icin-emeklilik-mujdesi-vatandas-zil-takip-oynadi-eyt-cikmasa-da-olur-dedirtti,10 yılı tamamlayanlar için emeklilik müjdesi! Vatandaş zil takıp oynadı! EYT çıkmasa da olur dedirtti! - Takvim,"

Çalışanlara sağlanan yaş haddiyle emekli olmak ile ilgili ilk formül 3600 günle emekli olmak. Bu kadar günün primini ödemiş olanlar on beş yıllik sigortalılık gün koşulunu sağlamaları durumunda ve ilk işe başlama tarihlerinin 1999 yılların Eylül ayından evvel olması ile birlikte emekli olma hakkına sahip olurlar. On senesi tamamlayarak emekli olmak isteyenler amacıyla formül biraz farklı. Çalışamayacak hale gelenler ve 1800 gün prim ödeyenler için geçerlidir.




 
10 Yılı Tamamlayanlar İçin Emeklilik 
On senesi tamamlayarak emekli olmak isteyenler amacıyla formül biraz farklı. Çalışamayacak hale gelenler ve 1800 gün prim ödeyenler için geçerlidir. İşe girilmesinin sonrasında lüzumlu gün primini ödemiş olan sağlık problemleri sebebiyle çalışma günü kaybı yaşarsa yaş şartı aranmadan emekli edilebilirler. Bu uygulamada sağlık raporu istenir ve söz hususu raporda yüzde altmış oranında bir teşhis lüzumludur. Erken emeklilik amacıyla gün sayanlar ve bu hususta yapılacak olan açıklamaları bekleyen bir müjde beklemektedir.




SGK sisteminde tespit edilen imkana göre kanser, parkinson, MS, kalp yetmezliği, birtakım psikiyatrik hastalıklara sahip olanlara erken emeklilik olanağı sağlanıyor. Malulen emeklilik adı verdiği bu sistemde çalışanlar 10 sene sigortalı olmak ve 1800 gün prim gününe sahip olmak gibi şartlarla emekli olabiliyorlar.
"
4,takvim,/yasam/2022/08/05/bodrumda-bir-ay-once-kaybolan-universite-ogrencisi-her-yerde-araniyor,Bodrum’da bir ay önce kaybolan üniversite öğrencisi her yerde aranıyor - Takvim,"

Erzurum Atatürk Üniversitesi Hukuk Fakültesi 4'üncü sınıf öğrencisi Vedat Altun, yaz döneminde otelde çalışmak üzere Bodrum'a geldi.




Bipolar bozukluğu olduğu öğrenilen Altun, 6 Temmuz'da Torba Mahallesi'nde çalıştığı otelden 'hava almaya çıkıyorum' diyerek ayrıldı, bir daha da dönmedi.




Altun'dan haber alamayan ailesi Erzurum'dan Bodrum'a gelip, kayıp ihbarında bulundu. İhbarın ardından Altun için arama çalışması başlatıldı.
"
5,takvim,/yasam/2022/05/26/baskan-erdoganin-turk-astronot-mujdesini-verdi-vatandas-siraya-girdi-31-bin-kisi-basvuru-yapti,Başkan Erdoğan’ın Türk astronot müjdesini verdi vatandaş sıraya girdi! 31 bin kişi başvuru yaptı - Takvim,"

Türkiye, gözünü uzaya çevirdi! Cumhurbaşkanı Tayyip Erdoğan, Türk Uzay Yolcusu ve Bilim Misyonu projesinin detayları hakkında bilgi verdi. Bilimsel araştırmalar için Uluslararası Uzay İstasyonu'na iki Türk astronotun gönderileceğini söyledi. Bunun üzerine binlerce kişi, tarihi görev için sıraya girdi! Sanayi ve Teknoloji Bakanı Mustafa Varank, başvurunun yapılacağı 'uzaya. gov.tr' sitesini tam 4 milyon kişinin ziyaret ettiğini söyledi. Sisteme kayıt yaptıranların sayısı ise 31 bindi! ""Kaydını tamamlayanların sayısı şu an 225 kişi. Ben ilginin devam edeceğine inanıyorum"" dedi.





İŞTE İSTENEN KRİTERLER
 45 yaşından küçük olacak. İyi derecede İngilizce bilecek. Tıp, mühendislik ve fen bilimlerinden mezun olacak.
 Tansiyonu 155-95'in altında olacak.
 Göz bozukluğu olmayacak. Renk körlüğü bulunmayacak. Protez ve vücudunda platin/vida olmayacak.
 Kronik kalp ve damar sistemi rahatsızlığı, panik bozukluk, bipolar bozukluk olmayacak.
"
6,takvim,/guncel/2022/05/25/baskan-erdoganin-aciklamasiyla-uzaya-turk-astronot-gonderilecek-tua-adaylarin-ozelliklerini-siraladi,"Başkan Erdoğan’ın açıklamasıyla uzaya Türk astronot gönderilecek! TUA, adayların özelliklerini sıraladı - Takvim","

 Başkan Recep Tayyip Erdoğan, 'Türk Uzay Yolcusu ve Bilim Misyonu' projesinin detayları açıklandı. Bilimsel araştırmalar için Uluslararası Uzay İstasyonu'na gönderilecek biri yedek iki Türk uzay yolcusu ile ilgili aranılan kriterler sıralandı. İşte uzaya gidecek ilk Türk'te olması gereken özellikler:
 45 yaşından küçük olacak. İyi derecede İngilizce bilecek. Tıp, mühendislik, fen bilimleri mezunu olacak.
 Boyu 149.5 cm ile 190.5 cm uzunluğunda olacak. Kilosu 43 kilo ile 110 kilo aralığında bulunacak. Tansiyonu 155-95'in altında olacak
 Göz bozukluğu olmayacak. Renk körlüğü bulunmayacak. Protez ve vücudunda platin/vida olmayacak.
 Kronik kalp ve damar sistemi rahatsızlığı olmaması, panik bozukluk, anksiyete bozuklukları, psikotik bozukluk, bipolar bozukluk olmayacak.





10 GÜN UZAYDA, 10 YIL TUA'DA!
Adaylardan test, tetkik ve muayene talep edilecek. İngilizce için mülakata alınacak. Seçilen 2 aday, Türk Uzay Ajansı (TUA) veya TÜBİTAK bünyesinde 10 yıl mecburi hizmet görevi yapacak.





Adaylar başvurularını 23 Haziran 2022 günü saat 20.23'e kadar 'uzaya.gov.tr' adresine yapacak. Seçilecek aday Cumhuriyetin 100'üncü yılında uzayda olacak.
"
7,takvim,/haberler/2022/05/31/uzaya-yolculuk-basvurusu-nasil-yapilacak-uzaya-yolculuk-basvuru-sartlari-neler-iste-uzayagovtr-basvuru-ekrani,Uzaya yolculuk başvurusu nasıl yapılacak? Uzaya yolculuk başvuru şartları neler? İşte uzaya.gov.tr BAŞVURU ekranı! - Takvim,"

Kabine Toplantısı'nde birçok önemli açıklamalarda bulunan Başkan Erdoğan Milli Uzay programı kapsamında önemli bir kararı duyurdu. İki haftada bir yapılan Kabine Toplantısı'nda ele alınacak konular belli olmuştu. Erdoğan, 45 yaşından genç tüm vatandaşlar için uzaya yolculuk müjdesini verdi. Peki, Uzaya yolculuk başvurusu nasıl yapılacak? Kimler uzaya yolculuk yapacak? 45 yaş altı herkes başvuru yapabilir mi? İşte detaylar!




UZAYA YOLCULUK NASIL YAPILACAK?
Cumhurbaşkanı Recep Tayyip Erdoğan, kabine sonrasında yaptığı açıklamada, Milli Uzay Programı kapsamında belirlenen 'Türk Uzay Yolcusu ve Bilim Misyonu' görevini başlattıklarını açıkladı.
Türkiye'nin insanlı ilk uzay görevi başlıyor. Türk Uzay Yolcusu ve Bilim Misyonu projesi start aldı. Türkiye Cumhuriyeti'nin 100'üncü yılı olan 2023'te uzayda bir Türk olacak. Türk Uzay Yolcusu Uluslararası Uzay İstasyonu'na bilimsel araştırmalar için gönderilecek. Seçilecek 2 adaydan biri 10 gün süreyle istasyonda kalacak.
Türk uzay yolcusu için 45 yaşından küçük, mühendislik, fen bilimleri, temel bilimler, fen bilimleri ve temel bilimler alanlarında eğitim ve tıp fakültelerinden lisans derecesine sahip ve çok iyi derecede İngilizce bilenler başvuru yapabilecek.
Adayların 149.5-190.5 santimetre boya ve 43-110 kilogram ağırlığa sahip olması gerekecek. Her iki gözde de doğal olarak veya gözlük, kontakt lens ile düzeltme sonrası yüzde 100 (Snellen20/20) görme keskinliği aranacak adaylara yapılacak muayenelerde tansiyon problemi olup olmadığına bakılacak.
Başvurular, uzaya.gov.tr adresi üzerinden 23 Haziran 2022 saat 20:23'e kadar alınacak. İlk başvuru aşamasını geçen adaylardan ek bilgi, belge, doğrulama gibi talepler istenilecek. Adaylar, test, tetkik ve muayeneden geçirilecek, İngilizce dil yetenekleri için mülakata alınacak. Tüm bu süreçlerin sonunda aday sayısı 2'ye düşürülecek. Bu iki adaydan biri Uluslararası Uzay İstasyonu'na çıkacak ilk Türk olacak.
Cumhurbaşkanı Recep Tayyip Erdoğan, Kabine Toplantısının ardından millete sesleniş konuşması yaptı. Cumhurbaşkanlığı Külliyesindeki toplantının ardından konuşan Erdoğan, Türk Uzay Yolcusu ve Bilim Misyonu ile ilgili şu açıklamayı yaptı:




ADIM ADIM İLERLİYORUZ: Uzay alanında iddiasını ortaya koyan bir Türkiye için, yaklaşık bir yıl önce yine bu kürsüden, Milli Uzay Programımızı açıklamıştım. Şimdi ekranların başında bizi izleyen gençlerimize sesleniyorum. Ülkemizin uzay alanındaki hak ve menfaatlerini korumak üzere belirlediğimiz, Türkiye'ye ve medeniyetimize yaraşır, iddialı ama ayakları yere basan tam 10 hedefi sizlerle paylaşmıştım. Ay'a ulaşmaktan uzay ekosistemi oluşturmaya, kalıcı uluslararası birliktelikler kurmaktan insan kaynağı geliştirmeye varan geniş bir yelpazedeki hedef başlıklarımızda adım adım ilerliyoruz.
PROAKTİF BİR TÜRKİYE: Bugün, hedeflerimizden birine yönelik önemli bir duyuruyu sizlerle paylaşmak istiyorum. Artık dünyada siyasi bağımsızlığın teknolojik bağımsızlıktan geçtiğini çok iyi biliyoruz. Türkiye olarak, teknolojik bağımsızlığımızı tesis etmek üzere, gerekli insan kaynağını yetiştirmek, alt ve üst yapıyı inşa etmek, bu alanda farkındalık oluşturmak için çalışıyoruz. Dünya düzeninin belirleyicisi konumundaki teknolojilerin, savunmadan imalat sanayine, araştırma geliştirmeden bilişime kadar her alanında proaktif bir Türkiye inşa ediyoruz.
MİHENK TAŞI OLACAK: Bu bakımdan, Türkiye için uzay yarışında yer almak bir lüks değil, bir mecburiyettir. Teknoloji konusunda öncü olabilmek için uzay alanında edinilecek tecrübelerden, doğacak kazanımlardan hak ettiğimiz payı almamız gerekiyor. Milli Uzay Programı kapsamında gerçekleştireceğimiz her hedef, Türkiye'nin yeni yüzyılındaki başarıları için birer mihenk taşı olacaktır. Türkiye'de bir nesil, ülkelerin uzay yarışını siyah beyaz televizyonlardan hatırlayın izledik, izlediler.
ARTIK O VAKİT GELDİ: Milli Teknoloji Hamlesi vizyonuyla, Türk gençleri uzay yarışının öncü aktörleri olsunlar istiyoruz. İşte bu yüzden, bugün ülkemiz adına tarihi bir âna, yepyeni bir eşiğe hep birlikte adım atacağız. Eminim, bu salondaki basın mensupları aracılığıyla birçok insan, küçük yaşlarından itibaren uzaya gitme hayali kurmuştur, hala kuranlar da vardır. Evet, artık o vakit geldi.
RESMEN BAŞLATIYORUZ: Milli Uzay Programımız çerçevesinde, bir Türk vatandaşının uluslararası uzay istasyonuna gönderilmesi sürecini resmen başlatıyoruz. Hiç şüphesiz bu milli bir görev olacak. Uzaya göndereceğimiz vatandaşımız, kendisinin ya da Türkiye'deki diğer bilim insanlarının yer çekimsiz uzay ortamında yapmak istedikleri bilimsel test ve deneyleri gerçekleştirme imkanına sahip olacak. Bu milli göreve başvuru için uzaya.gov.tr adresini oluşturduk.
"
8,takvim,/magazin/2022/04/25/beta-lakabiyla-bilinen-rapci-berk-bayindirin-supheli-olumu-kiz-arkadasinin-ifadesine-basvuruldu-fark-edince-arkasindan-kostum,Beta lakabıyla bilinen rapçi Berk Bayındır’ın şüpheli ölümü! Kız arkadaşının ifadesine başvuruldu: “Fark edince arkasından koştum...” - Takvim,"

""Beta"" lakabıyla tanınan rapçi Berk Bayındır, bu sabah İstanbul Kâğıthane'de yaşadığı rezidansın 8. katındaki dairesinin camından bilinmeyen bir nedenle düşerek hayatını kaybetti.




İddiaya göre 4 gündür kız arkadaşı S. E ile birlikte kalıyordu. Ünlü isim sabah saat 08.00 sıralarında kaldığı 285 numaralı dairenin balkonundan aşağıya düştü. Kanlar içerisinde kalan Bayındır vefat etti.




""DÜŞERKEN GÖRDÜM""
Sabah'ta yer alan habere göre; yaşanan olayla ilgili polis ekipleri çalışma başlattı. Kağıthane İlçe Emniyet Müdürlüğü ekiplerince yapılan ön çalışmada, görgü tanıklarının bilgisine başvuruldu.
"
9,takvim,/sgk/2022/03/23/bir-yolu-daha-var-duyan-saskin-yas-sartsiz-emeklilik-2-sekilde-mumkun-sgk-mevzuatinda-yeri-var,Bir yolu daha var! Duyan şaşkın! Yaş şartsız emeklilik 2 şekilde mümkün SGK mevzuatında yeri var - Takvim,"

2022 senesi SGK mevzuatında yaş koşulsuz erken emeklilik amacıyla 2 teknik bulunuyor. Çalışanların eksik şartlarla emeklilik hakkı elde edebilmeleri amacıyla ise 3 değişik teknik bulunuyor. Emeklilik hayali kuranlar amacıyla SGK'nın sunmuş olduğu emeklilik haklarını, nasıl ve hangi hallerde geçerli olduğunu, çalışanların kesinlikle bilmesi gereken meşru düzenlemeleri veriyoruz.




 
ERKEN EMEKLİLİK İÇİN ÖNEMLİ ETMEN 
Emeklilik yaşı hesaplamada uygulanan en temel şart işe giriş tarihi. İlk işe giriş, ilk sigorta başlangıç tarihi 1999 yılından önce ise emeklilik yaşı tarihe göre 49 50'ye kadar düşüyor. Ancak 1999-2002, 2002-2008 ve 2008 sonrası dönemler için bu şartı artıyor. En son ise 65 yaşında emeklilik şartı uygulanacak.




2020 ERKEN EMEKLİLİK ŞARTLARI NELERDİR?
Sosyal güvenlik mevzuatına göre ilk kez sigortalı olunan tarihten sonra çalışma gücünü belli oranda kaybeden sigortalılara erken emeklilik hakkı tanınıyor. Erken emeklilik için uyulması gereken şartlar belirtilmiştir:
En az 10 yıl sigortalı olmak,
En az 1800 prim gününün yatırılmış olması,
Sağlık Kurulu'ndan erken emeklilik başvurusu yapan kişinin en az yüzde 60 ve üzerinde iş gücü kaybının olduğunun tespit edilmesi,
4A kapsamında çalışanların işten ayrılmış olması,
4B kapsamında çalışanların ticari faaliyetlerine son vermiş ve herhangi bir prim borcunun bulunmaması,
4C kapsamında çalışanların görevden ayrılmış olması
"
